"subject1","object1"
"http://dbpedia.org/resource/Transverse_sinuses","\"Transverse sinuses\"@en"
"http://dbpedia.org/resource/Pterygoid_plexus","\"Pterygoid plexus\"@en"
"http://dbpedia.org/resource/External_pudendal_veins","\"External pudendal veins\"@en"
"http://dbpedia.org/resource/Pudendal_plexus_(veins)","\"Pudendal plexus (veins)\"@en"
"http://dbpedia.org/resource/Dural_venous_sinuses","\"Dural venous sinuses\"@en"
"http://dbpedia.org/resource/Coronary_sinus","\"Coronary sinus\"@en"
"http://dbpedia.org/resource/Sphenoparietal_sinus","\"Sphenoparietal sinus\"@en"
"http://dbpedia.org/resource/Vaginal_venous_plexus","\"Vaginal venous plexus\"@en"
"http://dbpedia.org/resource/Uterine_venous_plexus","\"Uterine venous plexus\"@en"
"http://dbpedia.org/resource/Arcuate_vein","\"Arcuate vein\"@en"
"http://dbpedia.org/resource/Jugular_vein","\"Jugular vein\"@en"
"http://dbpedia.org/resource/Venule","\"Venule\"@en"
"http://dbpedia.org/resource/Vesical_venous_plexus","\"Vesical venous plexus\"@en"
"http://dbpedia.org/resource/Pharyngeal_plexus_(venous)","\"Pharyngeal plexus (venous)\"@en"
"http://dbpedia.org/resource/Ductus_venosus","\"Ductus venosus\"@en"
"http://dbpedia.org/resource/Hepatic_vein","\"Hepatic vein\"@en"
"http://dbpedia.org/resource/Superior_petrosal_sinus","\"Superior petrosal sinus\"@en"
"http://dbpedia.org/resource/Inferior_petrosal_sinus","\"Inferior petrosal sinus\"@en"
"http://dbpedia.org/resource/Superior_mesenteric_vein","\"Superior mesenteric vein\"@en"
"http://dbpedia.org/resource/Superficial_palmar_venous_arch","\"Superficial palmar venous arch\"@en"
"http://dbpedia.org/resource/Plantar_venous_arch","\"Plantar venous arch\"@en"
"http://dbpedia.org/resource/Jugular_venous_arch","\"Jugular venous arch\"@en"
"http://dbpedia.org/resource/Dorsal_venous_arch_of_the_foot","\"Dorsal venous arch of the foot\"@en"
"http://dbpedia.org/resource/Deep_palmar_venous_arch","\"Deep palmar venous arch\"@en"
"http://dbpedia.org/resource/Batson_venous_plexus","\"Batson venous plexus\"@en"
"http://dbpedia.org/resource/Sigmoid_sinus","\"Sigmoid sinus\"@en"
"http://dbpedia.org/resource/Intrascleral_plexus","\"Intrascleral plexus\"@en"
"http://dbpedia.org/resource/Vena_comitans","\"Vena comitans\"@en"
"http://dbpedia.org/resource/Testicular_vein","\"Testicular vein\"@en"
"http://dbpedia.org/resource/Pampiniform_venous_plexus","\"Pampiniform venous plexus\"@en"
"http://dbpedia.org/resource/Petrosquamous_sinus","\"Petrosquamous sinus\"@en"
"http://dbpedia.org/resource/Straight_sinus","\"Straight sinus\"@en"
"http://dbpedia.org/resource/Confluence_of_sinuses","\"Confluence of sinuses\"@en"
"http://dbpedia.org/resource/Prostatic_venous_plexus","\"Prostatic venous plexus\"@en"
"http://dbpedia.org/resource/Cavernous_sinus","\"Cavernous sinus\"@en"
"http://dbpedia.org/resource/Hypophyseal_portal_system","\"Hypophyseal portal system\"@en"
"http://dbpedia.org/resource/Intercavernous_sinuses","\"Intercavernous sinuses\"@en"
"http://dbpedia.org/resource/Rectal_venous_plexus","\"Rectal venous plexus\"@en"
"http://dbpedia.org/resource/Straight_venules_of_kidney","\"Straight venules of kidney\"@en"
"http://dbpedia.org/resource/Venous_plexus","\"Venous plexus\"@en"
"http://dbpedia.org/resource/Occipital_sinus","\"Occipital sinus\"@en"
"http://dbpedia.org/resource/Uterine_veins","\"Uterine veins\"@en"
"http://dbpedia.org/resource/Superior_sagittal_sinus","\"Superior sagittal sinus\"@en"
"http://dbpedia.org/resource/Internal_jugular_vein","\"Internal jugular vein\"@en"
"http://dbpedia.org/resource/Inferior_sagittal_sinus","\"Inferior sagittal sinus\"@en"
"http://dbpedia.org/resource/Dorsal_venous_network_of_hand","\"Dorsal venous network of hand\"@en"
"http://dbpedia.org/resource/Deep_vein_of_the_thigh","\"Deep vein of the thigh\"@en"
"http://dbpedia.org/resource/Basilar_plexus","\"Basilar plexus\"@en"
"http://dbpedia.org/resource/Suboccipital_venous_plexus","\"Suboccipital venous plexus\"@en"
"http://dbpedia.org/resource/Anterior_intercostal_veins","\"Anterior intercostal veins\"@en"
"http://dbpedia.org/resource/Venae_cavae","\"Venae cavae\"@en"
"http://dbpedia.org/resource/Internal_vertebral_venous_plexuses","\"Internal vertebral venous plexuses\"@en"
"http://dbpedia.org/resource/External_vertebral_venous_plexuses","\"External vertebral venous plexuses\"@en"
"http://dbpedia.org/resource/External_jugular_vein","\"External jugular vein\"@en"
